Company_ID,Attribute_ID,Source,,,,,,,,,,,,,,
73,2,https://www.eworldtrade.com/pd/ew1535098615406441/bk-bk-edbp-bkedbp/459047/,,,,,,,,,,,,,,
74,2,https://www.foreign-trade.com/exporter/slnatech/,,,,,,,,,,,,,,
75,2,https://www.listofcompaniesin.com/Zilan_Chemical_Co_Ltd_Company_3500798.html,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,
91,,"Ripoff Report | fanchuang-medical-biotechnology-co.-ltd complaints, reviews, scams, lawsuits and frauds reported, 1 results",,,,,,,,,,,,,,
92,,https://www.tradebrio.com/hongkong-saichuang-pharmaceutical-tech-coltd.html#,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,
95,,http://hl151.b2b.7wsh.com,,,,,,,,,,,,,,
96,,"http://www.tianfuchem.net, http://hntianfu.lookchem.com/products/CasNo-101365-56-4-Furanyl-fentanyl-hydrochloride--22255264.html
",,,,,,,,,,,,,,
97,,"Fentanyl 437-38-7 - Jiangxi Xinyu Ocean Technology Manufacturing Co., Ltd (bizrobot.com)",,,,,,,,,,,,,,
98,,"Hebei kefuson Co.,ltd, AB-FUBINACA AB-PINACA RH-34 5F-MN24 MT-45 5F-PB22 mdai PB-22 BB-22 5F-PB22 MN-25 EAM2201 MN-24 LY-2183240 2NE1 5F-UR144 5-MEO-MIPT MAM2201, Manufacturers, Suppliers | SupplierList.com",,,,,,,,,,,,,,
99,,"Goldman Chemical Co.,Ltd. - Shanghai, China @ ChemicalRegister.com",,,,,,,,,,,,,,
100,,https://www.chemicalbook.com/ProductDetail_EN_1493139.htm,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,
106,,"Baoheng Biotechnology Import and Export Co., Limited (Company Code: 2819537) - List of New/Registered and Changed Names | Hong Kong Companies Datasets 💿 (databasesets.com)",,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,
110,,"Tonda chem-tech co.,ltd Introduction_Phone_Address_Product Quotation-chemicalbook",,,,,,,,,,,,,,
111,,"HuanYing Fine Chemical co,.ltd OKCHEM B2B Chemical Supply",,,,,,,,,,,,,,
112,,"Hebei Atun Trading Co., Ltd., China | TradeWheel",,,,,,,,,,,,,,
113,,"qingdao chuangnuo medical technology co., ltd OKCHEM B2B Chemical Supply ",,,,,,,,,,,,,,
114,"11, 17","https://jltdc.lookchem.com/, https://www.lookchem.com/product_BUFF-high-purity/17867209.html , Jilin Tianzheng Biological technology Co., Ltd Company Profile | Jilin, Jilin, China | Competitors, Financials & Contacts - Dun & Bradstreet (dnb.com), Jilin Tianzheng Biotechnology Co., Ltd. - Biotechnology, gelatin supply, collagen peptides (jltzgfgs.com), Jilin Tiandicheng Biotech Co.,Ltd|lookchem , Jilin Tiandicheng Biotechnology Co., Ltd.: Drug pipelines, Patents, Clinical trials - Synapse (patsnap.com) ",,,,,,,,,,,,,,
115,"11, 17","https://www.chemicalbook.com/supplier/14461901/, https://www.chemicalbook.com/supplier/14461901/ , High purity BUFF price,buy Formaldehyde,Formaldehyde supplier-Zhao county guang rui biological products co. LTD (lookchem.com)",,,,,,,,,,,,,,
116,"11, 17","https://www.quarkchem.com/en/about_us/, https://yanshuojingmao.lookchem.com/products/CasNo-77-92-9-Manufacturer-supply-fuef-high-purity-99-9-fuef-22345710.html",,,,,,,,,,,,,,
117,17,"https://www.echemi.com/shop-us20210602161391494/index.html#inquiry , hangzhou quanye maoyi youxiangongsi OKCHEM B2B Chemical Supply",,,,,,,,,,,,,,
118,"11, 17","http://www.runhuitrade.com/, https://runhuichem.lookchem.com/products/CasNo-77-92-9-Manufacturer-supply-fuef-high-purity-99-9-fuef-22447615.html",,,,,,,,,,,,,,
119,17,"https://eyechem.lookchem.com/products/CasNo-77872-43-6-3MFUF-22110768.html , (EYECHEM) Xi’an QingShuo Import And Export Trade Co.,Ltd. - Company News (lookchem.com)",,,,,,,,,,,,,,
120,17,https://tuocai.lookchem.com/products/CasNo-77872-43-6-3MFUF-22491100.html,,,,,,,,,,,,,,
121,"2, 4, 11, 17","https://bbs.fobshanghai.com/company/16014zjp779w9y1.html
, https://new-rise.lookchem.com/products/CasNo-77-92-9-Manufacturer-supply-fuef-high-purity-99-9-fuef-20821990.html,
 https://www.toocle.com/company/10978-152002/, https://new-rise.lookchem.com/products/CasNo-77-92-9-Manufacturer-supply-fuef-high-purity-99-9-fuef-20821990.html",,,,,,,,,,,,,,
122,17,"https://www.toocle.com/company/10978-152002/ , Wuhan New-Rise Biochem Co,. Ltd (globalmatex.com) ",,,,,,,,,,,,,,
123,11,"http://nmruiyangchemical.com/ , CHIFENG RUIYANG CHEMICAL CO.,LTD | Plastics and Rubber Supplier (chinaplasonline.com)",,,,,,,,,,,,,,
124,11,https://www.chemicalbook.com/manufacturer/honchchem/about.htm ; https://m.okchem.com/supplier/lc_62043.html ; https://m.chemicalbook.com/supplier/14767341/,,,,,,,,,,,,,,
125,17,https://biochem-lab.lookchem.com/products/CasNo-1443-49-8-fuef-21152201.html,,,,,,,,,,,,,,
126,,https://www.huangye88.com/city3/421389.html,,,,,,,,,,,,,,
127,,http://www.putop.com/WebSite/225462/Default.aspx,,,,,,,,,,,,,,
128,,https://treasurereasearch.lookchem.com/,,,,,,,,,,,,,,
129,,https://www.ltddir.com/company?utm_source=keda-biological-medicine-technology-co-limite,,,,,,,,,,,,,,
130,,https://www.veryark.com,,,,,,,,,,,,,,
131,,https://www.tradekeyindia.com/houtian-pharmercy-ind/company-profile.htm,,,,,,,,,,,,,,
